Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Caja,"-0,2054","0,81002","0,029344",0,0,0,"0,78839","0,0032586","-0,0010282","-8,6336E-11","0,011702","-1,0709E-11","0,0092365",0,0,0,0,0,0,package://rover_RYCSV/meshes/Caja.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover_RYCSV/meshes/Caja.STL,,caja-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Rocker_Izq,"-0,12488","-0,15227","0,01915",0,0,0,"0,24884","0,00019094","-0,00013197","-6,0954E-07","0,00048152","3,1014E-06","0,00057587",0,0,0,0,0,0,package://rover_RYCSV/meshes/Rocker_Izq.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover_RYCSV/meshes/Rocker_Izq.STL,,Rocker_Izq-1,Origin_RockerIzq,,RockerIzq,continuous,"-0,1819","-0,20649","0,84693","1,5708","0,27073","-3,1416",Caja,0,0,1,,,,,,,,,,,,
Llanta_3,"0,024464",0,"3,6082E-16",0,0,0,"1,0121","0,0046142","5,0222E-18","1,9562E-18","0,0029613","-1,5112E-21","0,0029613",0,0,0,0,0,0,package://rover_RYCSV/meshes/Llanta_3.STL,"0,7451","0,73725","0,72941",1,0,0,0,0,0,0,package://rover_RYCSV/meshes/Llanta_3.STL,,rueda_llanta-3,Origin_Llanta3,,Llanta3,continuous,"-0,2412","-0,27065","-0,027325","2,8709","-1,5708",0,Rocker_Izq,1,0,0,,,,,,,,,,,,
Bogie_Izq,"0,30239","-0,14029","0,066531",0,0,0,"0,3064","0,0001534","-1,8977E-05","-1,4849E-06","0,00013992","-3,5931E-08","0,0001753",0,0,0,0,0,0,package://rover_RYCSV/meshes/Bogie_Izq.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover_RYCSV/meshes/Bogie_Izq.STL,,Bogie_Izq-1,Origin_BogieIzq,,BogieIzq,continuous,"0,018678","0,056231","-0,059924",0,0,"-0,23089",Rocker_Izq,0,0,1,,,,,,,,,,,,
Llanta_1,"0,024464","-7,7716E-16","-7,7716E-16",0,0,0,"1,0121","0,0046142","4,962E-18","3,7532E-18","0,0029613","-1,7586E-22","0,0029613",0,0,0,0,0,0,package://rover_RYCSV/meshes/Llanta_1.STL,"0,7451","0,73725","0,72941",1,0,0,0,0,0,0,package://rover_RYCSV/meshes/Llanta_1.STL,,rueda_llanta-1,Origin_Llanta1,,Llanta1,continuous,"0,46323","-0,10326","0,0326","2,64","-1,5708",0,Bogie_Izq,1,0,0,,,,,,,,,,,,
Llanta_2,"0,024464","1,1102E-16","-2,7756E-17",0,0,0,"1,0121","0,0046142","4,9643E-18","3,1056E-18","0,0029613","-4,7139E-21","0,0029613",0,0,0,0,0,0,package://rover_RYCSV/meshes/Llanta_2.STL,"0,7451","0,73725","0,72941",1,0,0,0,0,0,0,package://rover_RYCSV/meshes/Llanta_2.STL,,rueda_llanta-2,Origin_Llanta2,,Llanta2,continuous,"0,13767","-0,23882","-0,0041503","2,64","-1,5708",0,Bogie_Izq,1,0,0,,,,,,,,,,,,
Rocker_Der,"-0,12217","-0,14435","0,056523",0,0,0,"0,24884","0,00019093","-0,00013193","5,2029E-07","0,00048153","-3,1174E-06","0,00057587",0,0,0,0,0,0,package://rover_RYCSV/meshes/Rocker_Der.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover_RYCSV/meshes/Rocker_Der.STL,,Rocker_Der-1,Origin_RockerDer,,RockerDer,continuous,"-0,17716","0,072133","0,84003","1,5708","0,27073","-3,1416",Caja,0,0,1,,,,,,,,,,,,
Llanta_6,"0,024464",0,"1,1102E-16",0,0,0,"1,0121","0,0046142","-2,6734E-18","4,405E-18","0,0029613","-6,5052E-19","0,0029613",0,0,0,0,0,0,package://rover_RYCSV/meshes/Llanta_6.STL,"0,7451","0,73725","0,72941",1,0,0,0,0,0,0,package://rover_RYCSV/meshes/Llanta_6.STL,,rueda_llanta-6,Origin_Llanta6,,Llanta6,continuous,"-0,23847","-0,26273","0,103","0,66019","1,5708",0,Rocker_Der,1,0,0,,,,,,,,,,,,
Bogie_Der,"0,30237","-0,14029","0,068733",0,0,0,"0,3064","0,00015341","-1,8925E-05","1,3238E-06","0,00013992","4,8749E-08","0,0001753",0,0,0,0,0,0,package://rover_RYCSV/meshes/Bogie_Der.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover_RYCSV/meshes/Bogie_Der.STL,,Bogie_Der-1,Origin_BogieDer,,BogieDer,continuous,"0,021417","0,064179","0,0029481",0,0,"-0,23102",Rocker_Der,0,0,1,,,,,,,,,,,,
Llanta_4,"0,024464","2,2204E-16",0,0,0,0,"1,0121","0,0046142","4,064E-18","-2,0526E-18","0,0029613","-1,5375E-21","0,0029613",0,0,0,0,0,0,package://rover_RYCSV/meshes/Llanta_4.STL,"0,7451","0,73725","0,72941",1,0,0,0,0,0,0,package://rover_RYCSV/meshes/Llanta_4.STL,,rueda_llanta-4,Origin_Llanta4,,Llanta4,continuous,"0,46323","-0,10326","0,10005","2,6398","1,5708",0,Bogie_Der,1,0,0,,,,,,,,,,,,
